
MC properties:
   MC Sweeps:       70000
   Mesh disp:       1.500000
   Bias type:       Minimum
   Bias strength:   20.000000
   Bias location:   29.304348
   InitialHeight:   29.304348
   RandSeed:        2
   Boundary Cond:   Frame

Mesh Properties:
   Bending Modulus: 20.000000
   Lx:              840.000000
   Ly:              840.000000
   Node nums in x:  70
   Node nums in y:  70

Particle Properties:
   Ptype num:       3
   Lengths:         3.5 17.5 20.0 7.5 17.5 30.0
   Binding str:     10.5 0.0 4.75
   Binding ranges:  4.0 0.0 4.0
   Densities:       200.0 4000.0 500.0 200.0 7520.0 480.0
   PDiam:           4.000000

Output Options:
   Tag:             Z_29.304347826086957
   OutputDir:       ../Simulation_Results/
   Framenums:       0
   Datanums:        50000
   Histbnums:       0

Restart Info:
   Inputfilename:   None
   Equil option:    No

Error Check:        Naw

#Sweep(1) TAcc(2) NAcc(3) SHAcc(4) TotE(5) MeshE(6) BiasE(7) Veff(8) ZBot(9) ZTop(10) TotAreaBot(11) TotAreaTop(12) TotPop(13) TotPopBot(14) TotPopTop(15) ThetaValTop(16) ThetaValBot(17) NBot1(18) NBot2(19) NBot3(20) NTop1(21) NTop2(22) NTop3(23) Bonds1(24) Bonds2(25) Bonds3(26) 
29 0.55 0.55 0.48 2505.099868 2073.786384 6.053602 425.259883 -15.669535 16.125053 705600.000000 707934.298031 1002.559411 352.738120 649.821291 28.756546 0.227759 16.982984 298.468959 37.286177 17.103751 596.977302 35.740239 0.000000 0.000000 0.000000 
30 0.55 0.55 0.48 2527.405284 2091.062330 10.766701 425.576253 -15.669535 16.144908 705600.000000 707975.360832 1002.593927 352.769997 649.823929 28.572562 0.237686 16.984421 298.496885 37.288692 17.104904 597.025361 35.693664 0.000000 0.000000 0.000000 
31 0.55 0.55 0.47 2578.146328 2138.856326 13.538522 425.751480 -15.689831 16.149543 705600.000000 708021.921195 1002.632229 352.807919 649.824310 28.483200 0.229856 16.985597 298.532150 37.290172 17.105584 597.072480 35.646246 0.000000 0.000000 0.000000 
32 0.55 0.55 0.47 2586.865394 2149.076444 13.535476 424.253474 -15.689831 16.136095 705600.000000 708001.707598 1002.521925 352.713093 649.808833 28.483200 0.223132 16.980150 298.454436 37.278507 17.100232 596.901373 35.807227 0.000000 0.000000 0.000000 
33 0.55 0.55 0.45 2551.019819 2112.388699 13.538119 425.093001 -15.689831 16.147787 705600.000000 708014.701066 1002.592567 352.775557 649.817010 28.483200 0.228978 16.983411 298.507061 37.285085 17.103250 597.006661 35.707099 0.000000 0.000000 0.000000 
34 0.55 0.55 0.48 2562.644864 2155.760667 0.646519 406.237679 -15.689831 16.781690 705600.000000 708097.619546 1001.665618 352.069240 649.596377 29.172348 0.545929 16.930920 297.997007 37.141313 17.036856 595.338813 37.220708 0.000000 0.000000 0.000000 
35 0.55 0.55 0.48 2543.531159 2133.916126 3.245002 406.370031 -15.689831 16.787338 705600.000000 708059.232622 1001.683640 352.086330 649.597310 28.920690 0.548753 16.931511 298.013408 37.141412 17.037345 595.362780 37.197185 0.000000 0.000000 0.000000 
36 0.55 0.55 0.50 2577.646134 2165.048901 4.697636 407.899597 -15.689831 16.730034 705600.000000 708114.029254 1001.757252 352.141945 649.615308 28.833862 0.520101 16.936170 298.052630 37.153145 17.042727 595.495938 37.076643 0.000000 0.000000 0.000000 
37 0.55 0.55 0.50 2552.838493 2140.403530 4.706215 407.728748 -15.689831 16.746401 705600.000000 708086.194291 1001.783281 352.171939 649.611342 28.833862 0.528285 16.936598 298.082380 37.152961 17.042199 595.517435 37.051709 0.000000 0.000000 0.000000 
38 0.55 0.55 0.49 2532.909213 2120.159930 4.698841 408.050443 -15.689831 16.732348 705600.000000 708120.677220 1001.831845 352.218640 649.613205 28.833862 0.521258 16.936264 298.126791 37.155585 17.043402 595.582853 36.986949 0.000000 0.000000 0.000000 
